rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,2040.5,2040.5,2045.5,2045.5,2566.5,2566.5,2660,2660,2488,2488,2506.5,2506.5,2310.5,2310.5,2430,2430,2620.5,2620.5,2519.5,2519.5
Banana,2058,2058,2457,2457,2874,2874,3037,3037,2431,2431,1983.5,1983.5,2615,2615,2239.5,2239.5,2382,2382,2110.5,2110.5
Cherry,2271,2271,2614.5,2614.5,2678,2678,2484,2484,2512.5,2512.5,2491.5,2491.5,2348,2348,1803.5,1803.5,2478,2478,2506.5,2506.5
Date,2197.5,2197.5,2418.5,2418.5,2167,2167,2299,2299,2382.5,2382.5,2092,2092,2449.5,2449.5,2934,2934,2628,2628,2619.5,2619.5
Eggplant,2563.5,2563.5,2244,2244,2371.5,2371.5,2281.5,2281.5,2710.5,2710.5,2689.5,2689.5,1976,1976,2460.5,2460.5,2379.5,2379.5,2511,2511
Fig,2517,2517,2336,2336,2246.5,2246.5,2769,2769,2610.5,2610.5,2433,2433,2527.5,2527.5,2218,2218,2296.5,2296.5,2233.5,2233.5
Grape,2055,2055,2441,2441,2518,2518,2533,2533,2409.5,2409.5,2690.5,2690.5,2432.5,2432.5,2821,2821,2265.5,2265.5,2021.5,2021.5
Hazelnut,2083.5,2083.5,2083.5,2083.5,2323,2323,2940.5,2940.5,2454,2454,2421,2421,2438.5,2438.5,2387.5,2387.5,2732.5,2732.5,2323.5,2323.5
Jalapeno,2452,2452,2367.5,2367.5,2403,2403,2479,2479,2169.5,2169.5,2095,2095,2477,2477,2592,2592,2308.5,2308.5,2844,2844
Kiwi,2601.5,2601.5,2194.5,2194.5,2582.5,2582.5,2474.5,2474.5,2172.5,2172.5,2361.5,2361.5,2754.5,2754.5,2510.5,2510.5,2312,2312,2223.5,2223.5
Litchi,2831.5,2831.5,2340.5,2340.5,2350.5,2350.5,2468,2468,1922,1922,2519,2519,2663,2663,2282,2282,2322,2322,2489,2489
Mushroom,2375,2375,2017.5,2017.5,2908.5,2908.5,2230,2230,2323.5,2323.5,2753,2753,2592.5,2592.5,2114,2114,2050.5,2050.5,2823,2823
Nut,2217,2217,2399,2399,2225.5,2225.5,2493,2493,2734.5,2734.5,2040,2040,2565,2565,2219,2219,2552.5,2552.5,2742,2742
Orange,2401.5,2401.5,2884,2884,2312,2312,2231.5,2231.5,2576.5,2576.5,2149,2149,2194.5,2194.5,2361.5,2361.5,2480.5,2480.5,2596.5,2596.5
Pear,3036.5,3036.5,3150,3150,1777,1777,2369,2369,2242,2242,2346.5,2346.5,2311,2311,2364.5,2364.5,2253.5,2253.5,2337.5,2337.5
Quinoa,2710,2710,2175.5,2175.5,2085.5,2085.5,2363.5,2363.5,2520,2520,2549,2549,2818,2818,2337,2337,2312.5,2312.5,2316.5,2316.5
Radish,2642,2642,2554,2554,2651,2651,2112.5,2112.5,2300.5,2300.5,2555.5,2555.5,2181,2181,2397,2397,2499.5,2499.5,2294.5,2294.5
Soy,1964.5,1964.5,2524,2524,2399.5,2399.5,2157.5,2157.5,2316.5,2316.5,2666.5,2666.5,2567.5,2567.5,2619.5,2619.5,2422,2422,2550,2550
Tomato,2357.5,2357.5,2726,2726,2471,2471,1889.5,1889.5,2506,2506,2612.5,2612.5,2139,2139,2831.5,2831.5,2359,2359,2295.5,2295.5
Vanilla,3000,3000,2402.5,2402.5,2464.5,2464.5,2103,2103,2593,2593,2420,2420,2014.5,2014.5,2452.5,2452.5,2720,2720,2017.5,2017.5
