rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,14374.883333333333,9250.416666666666,7027.3,5538.083333333333,3707.8119047619048,2685.4761904761904,2670.3928571428573,1727.4928571428572,982.7928571428571,723.6095238095238,538.7761904761904,207.06428571428572,38.7,24.2,0,0,0,0,0,0
Banana,11816.166666666666,8308.67857142857,7505.195238095238,5570.745238095238,5102.557142857143,3246.907142857143,2758.540476190476,1785.9071428571428,1415.0119047619048,827.3785714285714,428.5285714285714,240.3,235.66666666666666,134.33333333333334,88.33333333333333,32.75,0,0,0,0
Cherry,7257.333333333333,8608.516666666666,6510.5,5803.45,4839.716666666666,3964.425,3295.0916666666667,2632.725,2003.875,1488.4583333333333,1084.575,698.625,438.09166666666664,563.45,245.18333333333334,32.983333333333334,15,15,0,0
Date,5405.05,6189.645238095238,6555.778571428571,6733.3452380952385,5185.92380952381,4208.965476190476,3639.9488095238094,2950.315476190476,2660.070238095238,2038.2535714285714,1482.820238095238,1087.025,561.6083333333333,276.31666666666666,242.4,141.53333333333333,67.16666666666667,57.166666666666664,13.666666666666666,0
Eggplant,3941.8333333333335,5011.711904761904,4695.395238095238,5564.411904761905,5134.419047619048,5288.175,4129.275,4159.991666666667,2900.6130952380954,2319.4630952380953,1858.429761904762,1272.1059523809524,1135.575,883.9666666666667,454.05,429.6666666666667,140.41666666666666,90.08333333333333,56.083333333333336,31.333333333333332
Fig,2690.3,3712.945238095238,4463.478571428572,4319.378571428571,5371.0404761904765,4739.5404761904765,4880.8738095238095,4790.259523809524,4008.5142857142855,3019.747619047619,2276.897619047619,1984.3857142857144,1307.3690476190477,953.452380952381,391.78333333333336,375.6666666666667,155.53333333333333,55.833333333333336,0,0
Grape,1613.8833333333334,2340.55,3805.2166666666667,3644.016666666667,3709.4333333333334,5337.497619047619,4573.897619047619,3602.15,4032.8166666666666,3699.266666666667,3575.4166666666665,2927.4666666666667,2179.7357142857145,1560.7190476190476,1334.9833333333333,743.7333333333333,435.95,164.16666666666666,158.3,57.8
Hazelnut,999.4666666666667,2190.045238095238,3046.0619047619048,3232.0119047619046,4010.052380952381,4133.308333333333,4445.258333333333,4596.794047619048,4311.282142857143,4176.432142857143,3659.165476190476,3383.508333333333,2389.877380952381,1634.3023809523809,1203.2166666666667,862.0166666666667,625.4666666666667,382.53333333333336,214.53333333333333,1.6666666666666667
Jalapeno,720,1468.5119047619048,1772.3119047619048,2301.5119047619046,2897.3285714285716,3698.9928571428572,4581.992857142857,4900.092857142857,4209.080952380952,4560.597619047619,4546.864285714286,3555.397619047619,3181.45,2293.55,1753.7833333333333,1567.8,797.85,427.1,230.8,31.983333333333334
Kiwi,212.33333333333334,731.9285714285714,1210.7285714285715,2244.1619047619047,2682.5857142857144,3201.3440476190476,3415.2107142857144,3618.2440476190477,4093.065476190476,4152.965476190476,4387.882142857143,4710.641666666666,3827.8083333333334,3022.0666666666666,2680.5833333333335,1913.2833333333333,1852.3833333333334,1009.8,319.4,210.58333333333334
