rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,147578.56666666668,96953.86904761905,70426.95238095238,54430.10952380952,40094.84761904762,30476.764285714286,21895.54761904762,15171.714285714286,9247.295238095237,5501.478571428572,3250.304761904762,1908.85,1381.0166666666667,635.0166666666667,263.8333333333333,117.58333333333333,19.25,0,0,0
Banana,108195.98333333334,93419.8619047619,74606.11309523809,57719.35119047619,46358.3380952381,36560.07380952381,26201.009523809524,18464.39285714286,13303.980952380953,9417.154761904761,5983.375,4393.679761904762,2502.0690476190475,1135.1,595.2666666666667,330.0833333333333,134.58333333333334,32.583333333333336,0,0
Cherry,79066.7,77682.52619047619,70509.07738095238,61244.66547619048,52011.09285714286,41226.17380952381,33640.73095238095,26990.64761904762,18850.238095238095,13142.695238095239,9904.215476190477,6239.596428571429,4382.307142857143,2463.116666666667,1325,540.6333333333333,109.33333333333333,24.25,0,0
Date,57302.083333333336,63006.43571428571,64689.38690476191,58956.929761904765,54897.9376984127,46961.82103174603,39262.809126984124,31136.525793650795,25213.518650793652,18438.675793650793,13873.307936507936,10079.522222222222,7093.455555555555,3881.1619047619047,2145.611904761905,1442.2333333333333,705.5,220.58333333333334,45.5,0
Eggplant,36757.1,50023.54285714286,54561.30952380953,54940.5,54446.554761904765,49124.735714285714,45375.48333333333,38925.56428571429,31798.295238095237,26070.123809523808,19901.65,13680.445238095239,9765.514285714286,6463.516666666666,3805.252380952381,1952.695238095238,1065.9833333333333,633.2333333333333,59.833333333333336,1.6666666666666667
Fig,23278,37207.933333333334,46050.775,50926.98690476191,49596.732936507935,50239.34722222222,45644.30079365079,43591.73174603174,37901.86984126984,32490.16031746032,26421.47341269841,19220.41626984127,13131.301984126983,9558.217857142858,6443.5952380952385,3770.2571428571428,2065.016666666667,1191.8166666666666,509.31666666666666,113.75
Grape,17920.211904761905,25755.814285714285,34418.115476190476,40361.77023809524,43911.36031746032,47194.46984126984,47966.48531746032,47237.39246031746,42472.49246031746,37405.11507936508,30811.76150793651,24995.925793650793,19745.474603174604,14340.445238095239,9897.334523809524,6344.515476190476,4957.191666666667,2294.7738095238096,933.35,389
Hazelnut,9607.2,19569.745238095238,25931.613095238095,33799.83452380952,40991.62341269841,42683.830555555556,43921.74246031746,42889.13055555556,42748.73531746032,41580.83174603175,39616.21031746032,32506.06746031746,25831.510317460317,19595.82619047619,14371.188095238096,10293.688095238096,7172.957142857143,4043.032142857143,1676.8166666666666,521.4166666666666
Jalapeno,8347.988095238095,13799.247619047619,20317.480952380953,25522.988095238095,31230.534523809525,36100.348809523806,40631.541666666664,42226.98690476191,46622.775,43979.22261904762,40265.25714285715,36786.72857142857,31279.996428571427,26212.436904761904,20823.486904761903,14265.039285714285,9901.508333333333,5927.675,3546.040476190476,1565.7166666666667
Kiwi,4516.383333333333,7936.719047619048,12123.895238095238,19849.928571428572,25018.867857142857,32283.972619047618,37916.877380952385,42789.2130952381,42682.336904761905,43349.80952380953,41997.06785714286,40314.11309523809,36812.583333333336,33104.27857142857,24468.39285714286,19269.366666666665,16601.009523809524,10391.30119047619,6150.966666666666,1775.9166666666667
