rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,2272.5,2272.5,2207.5,2207.5,2316,2316,2525.5,2525.5,2534,2534,2975.5,2975.5,2694.5,2694.5,3082.5,3082.5,2415,2415,2533,2533
Banana,2649.5,2649.5,2671.5,2671.5,2058.5,2058.5,2506,2506,2607,2607,2757.5,2757.5,2505.5,2505.5,2724,2724,2169.5,2169.5,2907,2907
Cherry,2124,2124,2123.5,2123.5,3102,3102,2598,2598,2361,2361,2329.5,2329.5,2480,2480,2691,2691,2881.5,2881.5,2865.5,2865.5
Date,2536.5,2536.5,2449.5,2449.5,2194,2194,2693,2693,2576,2576,2283.5,2283.5,2464,2464,2257.5,2257.5,2883,2883,3219,3219
Eggplant,2929.5,2929.5,2728.5,2728.5,2567.5,2567.5,2676.5,2676.5,2305,2305,2748,2748,2679.5,2679.5,2276.5,2276.5,2266.5,2266.5,2378.5,2378.5
Fig,2599.5,2599.5,2431,2431,3000.5,3000.5,2686,2686,2114,2114,2815.5,2815.5,2563,2563,2510,2510,2414,2414,2422.5,2422.5
Grape,2370.5,2370.5,2734,2734,2068,2068,2627,2627,2875,2875,2682.5,2682.5,2345,2345,3183.5,3183.5,2477,2477,2193.5,2193.5
Hazelnut,2538.5,2538.5,2578,2578,2406,2406,2441.5,2441.5,2361,2361,2641,2641,2373.5,2373.5,3043,3043,2688.5,2688.5,2485,2485
Jalapeno,2602,2602,2961,2961,2325,2325,2646.5,2646.5,3127,3127,2228,2228,2718.5,2718.5,1832.5,1832.5,2764.5,2764.5,2351,2351
Kiwi,2731.5,2731.5,2592.5,2592.5,2437.5,2437.5,2767.5,2767.5,2617,2617,2642,2642,2496,2496,2226,2226,2255,2255,2791,2791
Litchi,3073.5,3073.5,2574.5,2574.5,2370,2370,2004,2004,2887,2887,2817.5,2817.5,2517.5,2517.5,2585.5,2585.5,2405,2405,2321.5,2321.5
Mushroom,2169.5,2169.5,2884.5,2884.5,2925,2925,2594,2594,2225,2225,2372.5,2372.5,3117.5,3117.5,2536.5,2536.5,2581.5,2581.5,2150,2150
Nut,2563,2563,1999.5,1999.5,2913.5,2913.5,2345.5,2345.5,2477.5,2477.5,2571.5,2571.5,2906,2906,2565,2565,2578,2578,2636.5,2636.5
Orange,3179,3179,2525.5,2525.5,2364,2364,2620,2620,2362,2362,2687,2687,2478,2478,2339.5,2339.5,2628,2628,2373,2373
Pear,2279,2279,2552,2552,2706,2706,2485.5,2485.5,2730,2730,2571.5,2571.5,2858,2858,2235.5,2235.5,2724.5,2724.5,2414,2414
Quinoa,2750.5,2750.5,2261.5,2261.5,2191.5,2191.5,2644.5,2644.5,2702,2702,2318.5,2318.5,2826,2826,3108.5,3108.5,1986.5,1986.5,2766.5,2766.5
Radish,2255.5,2255.5,3186,3186,2766.5,2766.5,2382.5,2382.5,2841.5,2841.5,2555,2555,2025,2025,2383,2383,2791,2791,2370,2370
Soy,2542.5,2542.5,2706,2706,2861.5,2861.5,2710,2710,2480.5,2480.5,2687,2687,2406,2406,2401.5,2401.5,2107.5,2107.5,2653.5,2653.5
Tomato,2435,2435,2506.5,2506.5,3047.5,3047.5,2448,2448,2477,2477,2163.5,2163.5,2165,2165,2544,2544,2930.5,2930.5,2839,2839
Vanilla,2510.5,2510.5,2439,2439,2491.5,2491.5,2710.5,2710.5,2452.5,2452.5,2265,2265,2493.5,2493.5,2586.5,2586.5,3165,3165,2442,2442
