rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,14936.333333333334,11559.616666666667,7349.583333333333,5922.016666666666,3977.3333333333335,2749.366666666667,1602.5,1452.1166666666666,746.5166666666667,560.45,263.5833333333333,140.53333333333333,87.45,36.2,26.2,13.2,0,0,0,0
Banana,11576.616666666667,9348.766666666666,7607.9,5376.5,5140.380952380952,3203.647619047619,2800.5476190476193,2114.8309523809526,1646.647619047619,1123.3309523809523,691.7809523809524,336.6,187.6,65.6,83.75,41.5,25.666666666666668,25.666666666666668,25.666666666666668,0
Cherry,8286.083333333334,7951.733333333334,7062.183333333333,6342,5591.166666666667,4656.833333333333,3312.9166666666665,2436.5833333333335,2022.3666666666666,1445.4833333333333,954.5666666666667,633.9166666666666,387.3833333333333,185.61666666666667,75.16666666666667,39.5,39.5,0,0,0
Date,6307.2,6507.333333333333,6505.183333333333,6418.933333333333,5463.397619047619,4827.947619047619,3764.714285714286,3494.464285714286,2193.214285714286,1850.7309523809524,1473.397619047619,1199.8833333333334,621.2833333333333,453.78333333333336,162.26666666666668,98.93333333333334,80.33333333333333,0,0,0
Eggplant,3357.6666666666665,3899.0833333333335,5484.416666666667,6172.033333333334,5512.516666666666,5408.316666666667,5423.483333333334,4512.65,2964.7166666666667,2333.383333333333,1905.55,1706.85,1196.9333333333334,725.8333333333334,426.76666666666665,259.21666666666664,121.58333333333333,12,0,0
Fig,2476.6666666666665,3403.133333333333,5614.983333333334,4668.45,4888.330952380952,5053.414285714286,4401.0142857142855,4342.230952380953,3885.5309523809524,3243.597619047619,2370.247619047619,2117.4333333333334,1809.5666666666666,1455.8833333333334,791.7333333333333,565.75,72.78333333333333,125.25,108,29
Grape,1456.3333333333333,2687.0833333333335,3497.133333333333,4522.233333333334,5070.164285714286,5203.0142857142855,5311.114285714286,4213.730952380953,4092.5142857142855,3653.230952380952,3267.2809523809524,2258.8,2144.8333333333335,1565.45,942.85,642.3666666666667,428.3666666666667,319.5,147,0
Hazelnut,1186.4166666666667,2005.5833333333333,2345.4166666666665,3178.5666666666666,4066.397619047619,4134.964285714285,4727.214285714285,4512.747619047619,4818.697619047619,4120.814285714286,3991.980952380952,3383.9333333333334,2702.0333333333333,2055.266666666667,1443.0333333333333,1266.1333333333334,730.55,443.6666666666667,235.58333333333334,74
Jalapeno,714,1573.2,2030.2,2508.8333333333335,3111.633333333333,3759.1,5084.233333333334,4639.35,4720.6,4962.783333333334,4147.95,3760.05,3098.733333333333,1884.3,2115.0666666666666,1380.7666666666667,980.6666666666666,720.7833333333333,166.25,64.5
Kiwi,422.6333333333333,949.5333333333333,1530.95,1966.9333333333334,3130.116666666667,3373.633333333333,3301.6666666666665,4296.3,4018.8,4441.483333333334,4682.816666666667,4403.933333333333,3845.1238095238095,3388.0904761904762,2523.140476190476,2146.040476190476,1721.6571428571428,842.1904761904761,285.82380952380953,152.13333333333333
Litchi,315.5,478.6166666666667,928.75,1412.2833333333333,1723.6976190476191,2751.897619047619,3269.1642857142856,3709.4309523809525,4463.830952380952,4488.714285714285,4900.2642857142855,4625.25,4195.323809523809,3282.3404761904762,2680.0071428571428,2921.0904761904762,2408.7571428571428,1370.9738095238095,1254.1904761904761,242.91666666666666
Mushroom,269.05,494.76666666666665,631.25,896.3833333333333,1033.4333333333334,1572.5833333333333,2117.25,3218.4666666666667,4045.8,4011.5666666666666,4608.316666666667,4137.516666666666,4265.47380952381,3984.390476190476,4365.390476190476,4004.5238095238096,2667.1071428571427,2742.2238095238095,1721.4238095238095,636.0833333333334
Nut,1.25,125.21666666666667,336.8,760.4666666666667,930.6333333333333,1410.2333333333333,2011.4,2824.5,3727.7833333333333,3186.383333333333,3879.5666666666666,4352.283333333334,4636.714285714285,4315.6809523809525,4419.880952380952,4228.964285714285,3778.614285714286,3266.8809523809523,2204.5476190476193,1025.2
Orange,64.25,353.6666666666667,202.75,426.6,504.8809523809524,950.847619047619,1335.4642857142858,1860.2809523809524,2665.847619047619,3247.497619047619,3158.197619047619,4217.033333333334,4223.740476190476,4796.390476190476,4188.240476190476,4120.073809523809,4828.657142857143,4276.240476190476,3542.0904761904762,2460.25
Pear,36.25,51.75,165.41666666666666,314.4166666666667,566.7333333333333,829.6166666666667,1068.3166666666666,1258.8166666666666,1827.7,2817.95,3237.8333333333335,3405.1833333333334,4361.17380952381,5145.22380952381,5240.323809523809,5485.257142857143,5230.8738095238095,4432.323809523809,3629.307142857143,2318.5333333333333
Quinoa,0,11.5,29.5,263.8,332.71666666666664,663.2166666666667,824.8,997.3,1309.0333333333333,2039.2666666666667,2360.3,3166.0666666666666,3992.7642857142855,4573.980952380953,5165.564285714286,5367.814285714286,5906.297619047619,5529.147619047619,4698.647619047619,4191.283333333334
Radish,16.75,16.75,33.916666666666664,157.41666666666666,206.65,363.3,420.26666666666665,639.8833333333333,831.7166666666667,1378.2833333333333,2381.9,3078.766666666667,3019.3238095238094,4078.1071428571427,4990.0404761904765,4975.057142857143,5793.807142857143,6783.407142857143,6350.957142857143,5906.7
Soy,0,0,0,23,72,245.38333333333333,226.78333333333333,261.9,585.0166666666667,1008.4166666666666,1275.45,1691.5166666666667,3069.214285714286,3730.464285714286,4443.530952380952,5135.664285714286,5832.030952380952,7466.9309523809525,8276.064285714287,8079.633333333333
Tomato,0,5.666666666666667,66.66666666666667,92.13333333333334,93.15,145.81666666666666,213.53333333333333,390.55,447.43333333333334,686.1666666666666,964.8833333333333,1535.1666666666667,1882.8309523809523,2900.614285714286,4040.5809523809526,4657.664285714286,5712.330952380952,6827.114285714286,8422.314285714287,12338.383333333333
Vanilla,0,0,0,0,7.666666666666667,119.86666666666666,206.61666666666667,246.86666666666667,409.23333333333335,823.4666666666667,907.1333333333333,1272.2833333333333,1695.5,2799.7833333333333,3299.4666666666667,4073.483333333333,5063.416666666667,6238.7,10355.133333333333,13904.383333333333
